Type,Threat/Content Type,Source address,Destination address,Application,Repeat Count,Source Port,Destination Port,IP Protocol,Threat/Content Name,Source Country,Destination Country,thr_category
THREAT,vulnerability,192.34.57.157,222.51.64.10,ssh,1,43606,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,192.34.57.157,222.51.64.10,ssh,1,43606,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,192.34.57.157,222.51.64.14,ssh,1,52430,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,192.34.57.157,222.51.64.14,ssh,1,52430,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,192.34.57.157,222.51.65.53,ssh,1,33408,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,192.34.57.157,222.51.65.53,ssh,1,33408,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,192.34.57.157,222.51.64.12,ssh,1,42898,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,192.34.57.157,222.51.64.12,ssh,1,42898,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,192.34.57.157,222.51.65.53,ssh,1,55038,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,192.34.57.157,222.51.64.39,ssh,1,36082,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,192.34.57.157,222.51.64.12,ssh,1,35904,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,192.34.57.157,222.51.64.39,ssh,2,56490,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,185.244.39.112,222.51.64.14,ssh,1,47102,22,tcp,SSH User Authentication Brute Force Attempt(40015),Netherlands,United States,brute-force
THREAT,vulnerability,185.244.39.112,222.51.64.14,ssh,1,47102,22,tcp,SSH User Authentication Brute Force Attempt(40015),Netherlands,United States,brute-force
THREAT,vulnerability,185.244.39.112,222.51.64.14,ssh,1,40542,22,tcp,SSH User Authentication Brute Force Attempt(40015),Netherlands,United States,brute-force
THREAT,vulnerability,117.131.14.38,222.51.64.14,ssh,1,45868,22,tcp,SSH User Authentication Brute Force Attempt(40015),China,United States,brute-force
THREAT,vulnerability,185.244.39.112,222.51.64.12,ssh,1,56736,22,tcp,SSH User Authentication Brute Force Attempt(40015),Netherlands,United States,brute-force
THREAT,vulnerability,185.244.39.112,222.51.64.12,ssh,2,51486,22,tcp,SSH User Authentication Brute Force Attempt(40015),Netherlands,United States,brute-force
THREAT,vulnerability,41.50.139.255,222.52.163.10,ssh,1,37716,22,tcp,SSH User Authentication Brute Force Attempt(40015),South Africa,United States,brute-force
THREAT,vulnerability,41.50.139.255,222.52.163.10,ssh,2,37654,22,tcp,SSH User Authentication Brute Force Attempt(40015),South Africa,United States,brute-force
THREAT,vulnerability,154.8.140.74,222.52.163.44,ssh,20,35856,22,tcp,SSH User Authentication Brute Force Attempt(40015),China,United States,brute-force
THREAT,vulnerability,154.8.140.74,222.52.163.44,ssh,19,35796,22,tcp,SSH User Authentication Brute Force Attempt(40015),China,United States,brute-force
THREAT,vulnerability,185.244.39.112,222.51.64.12,ssh,1,46598,22,tcp,SSH User Authentication Brute Force Attempt(40015),Netherlands,United States,brute-force
THREAT,vulnerability,185.244.39.112,222.51.64.12,ssh,1,46598,22,tcp,SSH User Authentication Brute Force Attempt(40015),Netherlands,United States,brute-force
THREAT,vulnerability,185.244.39.112,222.51.64.12,ssh,1,40950,22,tcp,SSH User Authentication Brute Force Attempt(40015),Netherlands,United States,brute-force
THREAT,vulnerability,175.6.47.5,222.51.64.10,ssh,1,37620,22,tcp,SSH User Authentication Brute Force Attempt(40015),China,United States,brute-force
THREAT,vulnerability,185.244.39.112,222.51.65.53,ssh,1,40834,22,tcp,SSH User Authentication Brute Force Attempt(40015),Netherlands,United States,brute-force
THREAT,vulnerability,185.244.39.112,222.51.65.53,ssh,1,40834,22,tcp,SSH User Authentication Brute Force Attempt(40015),Netherlands,United States,brute-force
THREAT,vulnerability,185.244.39.112,222.51.65.53,ssh,1,35744,22,tcp,SSH User Authentication Brute Force Attempt(40015),Netherlands,United States,brute-force
THREAT,vulnerability,103.79.141.158,222.51.64.12,ssh,1,42809,22,tcp,SSH User Authentication Brute Force Attempt(40015),Viet Nam,United States,brute-force
THREAT,vulnerability,103.79.141.158,222.51.64.12,ssh,1,42809,22,tcp,SSH User Authentication Brute Force Attempt(40015),Viet Nam,United States,brute-force
THREAT,vulnerability,103.79.141.158,222.51.64.12,ssh,1,42622,22,tcp,SSH User Authentication Brute Force Attempt(40015),Viet Nam,United States,brute-force
THREAT,vulnerability,34.201.223.194,222.52.161.34,ssh,1,36208,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,34.201.223.194,222.52.161.34,ssh,1,36294,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,34.201.223.194,222.52.161.34,ssh,3,36222,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,34.201.223.194,222.52.161.34,ssh,4,35872,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,34.201.223.194,222.52.161.34,ssh,2,35462,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,34.201.223.194,222.52.161.34,ssh,6,34856,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,34.201.223.194,222.52.161.34,ssh,4,34856,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,34.201.223.194,222.52.161.34,ssh,4,34242,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,34.201.223.194,222.52.161.34,ssh,5,34242,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,34.201.223.194,222.52.161.34,ssh,2,33942,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,34.201.223.194,222.52.161.34,ssh,3,33942,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,34.201.223.194,222.52.161.28,ssh,1,56724,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,34.201.223.194,222.52.161.28,ssh,1,56724,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,3.132.217.60,222.52.161.26,ssh,1,47984,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,3.132.217.60,222.52.161.26,ssh,2,48046,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,3.132.217.60,222.52.161.26,ssh,2,47982,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,3.132.217.60,222.52.161.26,ssh,1,47982,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,37.110.85.110,222.52.163.1,ssh,1,47651,22,tcp,SSH User Authentication Brute Force Attempt(40015),Russian Federation,United States,brute-force
THREAT,vulnerability,192.109.240.69,222.51.64.10,ssh,1,41948,22,tcp,SSH User Authentication Brute Force Attempt(40015),Poland,United States,brute-force
THREAT,vulnerability,192.109.240.69,222.51.64.10,ssh,1,43768,22,tcp,SSH User Authentication Brute Force Attempt(40015),Poland,United States,brute-force
THREAT,vulnerability,192.109.240.69,222.51.64.10,ssh,2,41948,22,tcp,SSH User Authentication Brute Force Attempt(40015),Poland,United States,brute-force
